"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"Oregon",0,0,0,0,11.3,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0
"Pennsylvania",0,0,0,0,0,0,0,4.367,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,0,0,3.617,0,4.567,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0
"Rhode Island",0,0,0,0,0,0,1.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina",0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,6.683,0,0,9.6,4.25,0,0,0,0,0,0,3.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833
"Tennessee",3.983,0,0,5.867,0,0,0,0,0,0,5.55,0,0,0,0,0,0,3.283,0,0,0,0,0,0,5.883,7.65,0,0,0,0,0,0,0,7.867,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Texas",0,0,0,8.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,8.483,0,0,0,0,5.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Utah",0,0,10.083,0,0,7.717,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.133,0,0,10.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.683
"Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067,0,0,4.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia",0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,7.733,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4.183,0,0
"Washington",0,0,0,0,0,0,0,0,0,0,0,0,10.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.183,0,0,5.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,4.75,0,0,0,0,0,0,0,4.183,0,0,0,0
"Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,5.367,0,5.183,0,0,0,0,0,0,8.317,4.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wyoming",0,0,0,0,0,7.35,0,0,0,0,0,0,9.333,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,7.933,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833,0,0,7.683,0,0,0,0,0,0
